,J,P
0,0.6,0.890909091
1,0.7,1.5
2,0.833333333,1.111111111
3,0.875,1.333333333
4,0.75,0.2
5,0.5,1
6,0.625,1.4
7,3.125,0.5
8,0.8,0.842105263
9,0.857142857,2.25
10,1.333333333,0.666666667
11,0.333333333,0.96875
12,1,1.333333333
13,0.625,0.540540541
14,0.6,4
15,0.833333333,1.083333333
16,0.888888889,0.875
17,0.857142857,1.075
18,0.857142857,0.75
19,0.804979253,1.8
20,0.9,1.142857143
21,0.8,1
22,1,2.666666667
23,0.782608696,3
24,0.5,1
25,1.666666667,1.090909091
26,1.4,0.666666667
27,0.416666667,0.6
28,0.888888889,0.75
29,0.555555556,0.833333333
30,0.833333333,0.666666667
31,0.666666667,0.35
32,0.5625,0.454545455
33,0.5,1.666666667
34,0.625,0.5
35,1,1
36,0.85,1
37,1,1.666666667
38,1,2.857142857
39,0.75,1.285714286
40,1.2,
41,1.25,
42,0.909090909,
